# {
#     "poni_version": 2.1,
#     "detector": "Dexela2923",
#     "detector_config": {
#         "pixel1": 7.5e-05,
#         "pixel2": 7.5e-05,
#         "orientation": 3
#     },
#     "dist": 0.7729163652097074,
#     "poni1": 0.15023228379054998,
#     "poni2": 0.13162955346626973,
#     "rot1": -0.03463361979894058,
#     "rot2": -0.0014763885094713292,
#     "rot3": -7.645244767931508e-10,
#     "wavelength": 1.82e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> integrated_CeO2.dat
#       2th_deg             I 
  5.238419e+00    1.382361e+01
  5.253704e+00    1.400777e+01
  5.268989e+00    1.426223e+01
  5.284274e+00    1.455388e+01
  5.299559e+00    1.495595e+01
  5.314844e+00    1.547509e+01
  5.330129e+00    1.611598e+01
  5.345414e+00    1.726461e+01
  5.360699e+00    1.906764e+01
  5.375984e+00    2.238791e+01
  5.391269e+00    2.959735e+01
  5.406554e+00    4.925644e+01
  5.421839e+00    1.170466e+02
  5.437124e+00    2.775998e+02
  5.452409e+00    4.009411e+02
  5.467694e+00    3.275146e+02
  5.482979e+00    1.532425e+02
  5.498264e+00    5.935500e+01
  5.513549e+00    3.223639e+01
  5.528835e+00    2.317712e+01
  5.544120e+00    1.930044e+01
  5.559405e+00    1.727659e+01
  5.574690e+00    1.606197e+01
  5.589975e+00    1.524787e+01
  5.605260e+00    1.468887e+01
  5.620545e+00    1.426510e+01
  5.635830e+00    1.395556e+01
  5.651115e+00    1.371331e+01
  5.666400e+00    1.354741e+01
  5.681685e+00    1.340093e+01
  5.696970e+00    1.325782e+01
  5.712255e+00    1.313179e+01
  5.727540e+00    1.304734e+01
  5.742825e+00    1.295325e+01
  5.758110e+00    1.290280e+01
  5.773395e+00    1.282835e+01
  5.788680e+00    1.277589e+01
  5.803965e+00    1.272703e+01
  5.819251e+00    1.271109e+01
  5.834536e+00    1.267028e+01
  5.849821e+00    1.267208e+01
  5.865106e+00    1.266340e+01
  5.880391e+00    1.263200e+01
  5.895676e+00    1.259758e+01
  5.910961e+00    1.259851e+01
  5.926246e+00    1.259600e+01
  5.941531e+00    1.259512e+01
  5.956816e+00    1.257120e+01
  5.972101e+00    1.255498e+01
  5.987386e+00    1.256711e+01
  6.002671e+00    1.258171e+01
  6.017956e+00    1.260528e+01
  6.033241e+00    1.266032e+01
  6.048526e+00    1.267093e+01
  6.063811e+00    1.271283e+01
